date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:31:42	14/14	---M--	200	added ('OK')	text/plain	etag:%22e-5c01b2e3a6ac3%22	https://preview.colorlib.com/robots.txt		(from )
15:31:42	20486/20486	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Jul%202018%2023:33:48%20GMT	https://preview.colorlib.com/theme/travello/	C:/Users/vyshn/Downloads/demoweb/preview.colorlib.com/theme/travello/index.html	(from )
15:31:42	127343/127343	---M-Z	200	added ('OK')	text/css	etag:%221f16f-570713d61fac0-gzip%22	https://preview.colorlib.com/theme/travello/styles/bootstrap4/bootstrap.min.css	C:/Users/vyshn/Downloads/demoweb/preview.colorlib.com/theme/travello/styles/bootstrap4/bootstrap.min.css	(from https://preview.colorlib.com/theme/travello/)
15:31:43	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%227918-570713dfa9140-gzip%22	https://preview.colorlib.com/theme/travello/plugins/font-awesome-4.7.0/css/font-awesome.min.css	C:/Users/vyshn/Downloads/demoweb/preview.colorlib.com/theme/travello/plugins/font-awesome-4.7.0/css/font-awesome.min.css	(from https://preview.colorlib.com/theme/travello/)
15:31:43	4219/4219	---M-Z	200	added ('OK')	text/css	etag:%22107b-570713c124940-gzip%22	https://preview.colorlib.com/theme/travello/plugins/OwlCarousel2-2.2.1/owl.carousel.css	C:/Users/vyshn/Downloads/demoweb/preview.colorlib.com/theme/travello/plugins/OwlCarousel2-2.2.1/owl.carousel.css	(from https://preview.colorlib.com/theme/travello/)
15:31:44	1333/1333	---M-Z	200	added ('OK')	text/css	etag:%22535-570713c30cdc0-gzip%22	https://preview.colorlib.com/theme/travello/plugins/OwlCarousel2-2.2.1/owl.theme.default.css	C:/Users/vyshn/Downloads/demoweb/preview.colorlib.com/theme/travello/plugins/OwlCarousel2-2.2.1/owl.theme.default.css	(from https://preview.colorlib.com/theme/travello/)
15:31:44	73460/73460	---M-Z	200	added ('OK')	text/css	etag:%2211ef4-570713c124940-gzip%22	https://preview.colorlib.com/theme/travello/plugins/OwlCarousel2-2.2.1/animate.css	C:/Users/vyshn/Downloads/demoweb/preview.colorlib.com/theme/travello/plugins/OwlCarousel2-2.2.1/animate.css	(from https://preview.colorlib.com/theme/travello/)
15:31:44	24049/24049	---M-Z	200	added ('OK')	text/css	etag:%225df1-570713a94d100-gzip%22	https://preview.colorlib.com/theme/travello/styles/main_styles.css	C:/Users/vyshn/Downloads/demoweb/preview.colorlib.com/theme/travello/styles/main_styles.css	(from https://preview.colorlib.com/theme/travello/)
15:31:45	5372/5372	---M-Z	200	added ('OK')	text/css	etag:%2214fc-570713aa41340-gzip%22	https://preview.colorlib.com/theme/travello/styles/responsive.css	C:/Users/vyshn/Downloads/demoweb/preview.colorlib.com/theme/travello/styles/responsive.css	(from https://preview.colorlib.com/theme/travello/)
15:31:45	24/24	---M--	400	error ('Bad%20Request')	text/plain	date:Sat,%2014%20Oct%202023%2010:01:44%20GMT	https://preview.colorlib.com/cdn-cgi/zaraz/s.js?z=	C:/Users/vyshn/Downloads/demoweb/preview.colorlib.com/cdn-cgi/zaraz/sd0d9.js	(from https://preview.colorlib.com/theme/travello/)
15:31:45	20486/20486	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Jul%202018%2023:33:48%20GMT	https://preview.colorlib.com/theme/travello/index.html	C:/Users/vyshn/Downloads/demoweb/preview.colorlib.com/theme/travello/index-2.html	(from https://preview.colorlib.com/theme/travello/)
15:31:46	16807/16807	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Jul%202018%2023:33:46%20GMT	https://preview.colorlib.com/theme/travello/about.html	C:/Users/vyshn/Downloads/demoweb/preview.colorlib.com/theme/travello/about.html	(from https://preview.colorlib.com/theme/travello/)
15:31:46	15944/15944	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Jul%202018%2023:33:48%20GMT	https://preview.colorlib.com/theme/travello/news.html	C:/Users/vyshn/Downloads/demoweb/preview.colorlib.com/theme/travello/news.html	(from https://preview.colorlib.com/theme/travello/)
15:31:47	12375/12375	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Jul%202018%2023:33:46%20GMT	https://preview.colorlib.com/theme/travello/contact.html	C:/Users/vyshn/Downloads/demoweb/preview.colorlib.com/theme/travello/contact.html	(from https://preview.colorlib.com/theme/travello/)
15:31:47	2163/2163	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2014%20Oct%202023%2010:01:46%20GMT	https://preview.colorlib.com/theme/travello/inex.html	C:/Users/vyshn/Downloads/demoweb/preview.colorlib.com/theme/travello/inex.html	(from https://preview.colorlib.com/theme/travello/)
15:31:48	210295/210295	---M--	200	added ('OK')	image/jpeg	etag:%2233577-5707137d6e980%22	https://preview.colorlib.com/theme/travello/images/home_slider.jpg	C:/Users/vyshn/Downloads/demoweb/preview.colorlib.com/theme/travello/images/home_slider.jpg	(from https://preview.colorlib.com/theme/travello/)
